player_id,player_name,game_id,season,team_abbreviation,pts,reb,ast,stl,blk,turnover,fgm,fga,ftm,fta,min
61,Mikal Bridges,857381,2022,PHX,13,7,6,1,0,3,6,10,1,2,38.0
666679,Cameron Johnson,857381,2022,PHX,5,3,2,2,0,2,2,9,0,0,23.0
22,Deandre Ayton,857381,2022,PHX,26,6,3,1,1,4,12,22,1,3,38.0
57,Devin Booker,857381,2022,PHX,33,5,3,1,0,2,11,23,8,9,44.0
367,Chris Paul,857381,2022,PHX,10,4,12,5,0,1,5,11,0,0,36.0
110,Torrey Craig,857381,2022,PHX,3,1,1,1,0,1,1,3,0,0,11.0
368,Cameron Payne,857381,2022,PHX,5,2,1,0,0,2,1,3,2,2,17.0
19465326,Jock Landale,857381,2022,PHX,6,4,0,0,0,1,2,5,1,2,14.0
272,Damion Lee,857381,2022,PHX,8,6,3,2,0,0,2,6,2,3,31.0
356,Josh Okogie,857381,2022,PHX,2,3,0,1,0,0,1,2,0,0,14.0
48,Bismack Biyombo,857381,2022,PHX,0,0,0,0,0,0,0,0,0,0,1.0
407,Dario Saric,857381,2022,PHX,0,0,0,0,0,0,0,0,0,0,0.0
17896120,Ish Wainright,857381,2022,PHX,0,0,0,0,0,0,0,0,0,0,0.0
17896089,Duane Washington Jr.,857381,2022,PHX,0,0,0,0,0,0,0,0,0,0,0.0
112,Jae Crowder,857381,2022,PHX,0,0,0,0,0,0,0,0,0,0,0.0
414,Landry Shamet,857381,2022,PHX,0,0,0,0,0,0,0,0,0,0,0.0
3547242,Deni Avdija,857374,2022,WAS,6,10,4,1,1,1,2,4,0,0,23.0
265,Kyle Kuzma,857374,2022,WAS,26,6,2,0,0,1,8,16,6,7,34.0
378,Kristaps Porzingis,857374,2022,WAS,14,3,2,1,2,1,6,13,0,0,29.0
37,Bradley Beal,857374,2022,WAS,19,1,8,0,2,5,9,14,0,0,37.0
330,Monte Morris,857374,2022,WAS,9,4,3,1,1,0,4,8,0,0,26.0
666609,Rui Hachimura,857374,2022,WAS,12,4,1,0,0,2,4,9,4,4,24.0
487,Delon Wright,857374,2022,WAS,6,3,4,3,1,2,3,8,0,0,21.0
31,Will Barton,857374,2022,WAS,6,5,1,1,0,1,3,6,0,0,17.0
666577,Daniel Gafford,857374,2022,WAS,2,2,0,1,1,3,1,1,0,0,18.0
3547302,Anthony Gill,857374,2022,WAS,2,1,1,0,0,0,1,1,0,0,11.0
38017687,Johnny Davis,857374,2022,WAS,0,0,0,0,0,0,0,0,0,0,0.0
173,Taj Gibson,857374,2022,WAS,0,0,0,0,0,0,0,0,0,0,0.0
18678058,Jordan Goodwin,857374,2022,WAS,0,0,0,0,0,0,0,0,0,0,0.0
17554006,Jordan Schakel,857374,2022,WAS,0,0,0,0,0,0,0,0,0,0,0.0
17895967,Isaiah Todd,857374,2022,WAS,0,0,0,0,0,0,0,0,0,0,0.0
3547252,Vernon Carey Jr.,857374,2022,WAS,0,0,0,0,0,0,0,0,0,0,0.0
