(224, 14.086566)
(666676, 17.290990)
(7155648, 12.796112)
(375, 14.263039)
(177, 26.733000)
(246, 50.988526)
(69, 16.603843)
(81, 12.445512)
(38017709, 13.329891)
(17896031, 9.573889)
(188, 11.823642)
(390, 5.042381)
(250, 25.640031)
(666489, 13.008244)
(3547268, 15.583529)
(422, 9.518829)
(38017721, 16.260371)
(38017735, 17.410490)
(38017727, 0.000000)
(335, 18.182277)
(666423, 8.118942)
(387, 19.880313)
(399, 34.180235)
(73, 21.786858)
(160, 0.480912)
(666860, 8.950603)
(201, 25.315793)
(3547243, 11.326457)
(3547269, 16.239747)
(401, 5.852626)
(17896033, 6.445869)
(17896063, 25.041204)
(338, 12.632685)
(19, 0.532338)
(38017720, -7.149068)
(17895858, 9.858784)
(17896093, 0.000000)
(3547256, 13.863247)
(54, 13.642548)
(3547267, 16.421485)
(17896075, 12.759056)
(38017682, 8.852456)
(38017694, 29.578446)
(3547241, 11.171536)
(259, 8.740262)
(128, 20.050117)
(251, 13.807216)
(17896007, 27.943134)
(307, 9.178685)
(38017718, -6.123800)
(345, 14.390000)
(24, 23.058606)
(77, 14.376289)
(17896071, 6.839948)
(666541, 9.385823)
(3547271, 17.044027)
(17896021, 17.087603)
(17896065, 23.222524)
(175, 32.884383)
(17896078, 15.059460)
(17896036, 6.144733)
(337, 13.643876)
(666429, 18.518181)
(38017716, 9.981209)
(480, 20.814524)
(27924547, 7.952425)
(17896106, 9.519540)
(3547272, 10.471015)
(38017706, 16.033892)
(38017685, 0.000000)
(38017703, 19.906831)
(277, 12.514857)
(17896076, 25.907625)
(9, 31.504059)
(3547247, 12.395388)
(322, 19.094792)
(359, 9.003615)
(285, 15.286470)
(343, 17.210483)
(284, 13.707212)
(3547279, 11.625661)
(38017662, 19.152664)
(666940, 10.032726)
(3547163, 8.033278)
(666581, 18.492108)
(404, 13.250719)
(666971, 7.232689)
(75, 6.576532)
(158, 9.229894)
(306, 22.323541)
(130, 16.653768)
(132, 32.245423)
(191, 6.458110)
(486, 23.436613)
(257, 10.334802)
(3547258, 11.149151)
(379, 23.401117)
(370, 11.286624)
(38017679, 8.545963)
(17896074, 16.722503)
(133, 53.799963)
(44, 6.447759)
(3547304, 8.583556)
(347, 4.027776)
(30, 15.669423)
(666821, 8.291201)
(406, 39.500540)
(221, 13.755333)
(161, 24.669193)
(38017688, 11.217701)
(217, 18.740157)
(324, 15.150988)
(17553994, 10.156446)
(666530, 8.626117)
(314, 26.797898)
(123, 7.253983)
(273, 23.757663)
(290, 16.198946)
(38017738, -15.933647)
(38017714, 17.260041)
(17553967, 28.530643)
(17895854, 33.649172)
(39398582, 22.885886)
(17554004, 9.166756)
(39613724, 0.000000)
(3547197, 9.587046)
(3547298, 16.880941)
(465, 14.926784)
(666675, 0.000000)
(240, 6.999170)
(243, 19.735333)
(17896099, 11.072428)
(42097199, 7.565055)
(666698, 16.091232)
(72, 19.080754)
(17896064, -8.507360)
(135, 5.228923)
(153, 0.000000)
(43516144, 7.854167)
(78, -26.972031)
(666894, -28.579066)
(44477062, 6.918911)
(44477024, 110.880237)
(44477085, 14.316994)
(17554005, 19.989693)
(139, 28.509652)
